features,label
"suspicious_email_link, urgency_in_email, whaling_attempt, vishing_indicators",Phishing
"certificate_anomaly, unusual_gateway_mac, bgp_hijacking",Man-in-the-Middle (MitM)
"email_header_anomaly, urgency_in_email, spear_phishing_indicators",Phishing
"suspicious_email_link, lookalike_domain, whaling_attempt",Phishing
"session_hijacking, ssl_certificate_mismatch, evil_twin_ap",Man-in-the-Middle (MitM)
"brute_force_login, failed_ssh_attempts, auth_log_flooding",Brute Force Attack
"cookie_theft_attempt, event_handler_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"lateral_movement, bitcoin_address_in_note",Ransomware
"email_header_anomaly, whaling_attempt",Phishing
"credential_harvesting, lookalike_domain, brand_impersonation",Phishing
"xss_payload_detected, script_tag_in_input, reflected_payload, stored_xss_payload, html_entity_bypass",Cross-Site Scripting (XSS)
"blind_sqli_timing, stacked_queries, encoded_sql_payload",SQL Injection
"cookie_theft_attempt, reflected_payload, html_entity_bypass",Cross-Site Scripting (XSS)
"unusual_db_query, blind_sqli_timing, tautology_in_query, time_delay_response",SQL Injection
"sql_injection_pattern, error_based_response, stacked_queries, db_error_in_response",SQL Injection
"error_based_response, union_based_payload, db_error_in_response",SQL Injection
"http_flood, slow_loris_attack, dns_amplification",Distributed Denial of Service (DDoS)
"suspicious_email_link, domain_spoofing",Phishing
"port_scanning, os_fingerprinting, dns_enumeration, whois_lookup, tcp_connect_scan",Reconnaissance
"packet_interception, session_hijacking, ssl_certificate_mismatch, bgp_hijacking",Man-in-the-Middle (MitM)
"service_enumeration, idle_scan",Reconnaissance
"brute_force_login, dictionary_attack, failed_ssh_attempts",Brute Force Attack
"high_login_attempts, credential_stuffing, rapid_auth_requests",Brute Force Attack
"unusual_db_query, time_delay_response",SQL Injection
"dns_enumeration, tcp_connect_scan",Reconnaissance
"brute_force_login, credential_stuffing, dictionary_attack, account_lockout_triggered",Brute Force Attack
"port_scanning, os_fingerprinting, banner_grabbing, tcp_connect_scan",Reconnaissance
"domain_spoofing, lookalike_domain, malicious_attachment, brand_impersonation, whaling_attempt",Phishing
"syn_flood, amplification_traffic, connection_exhaustion",Distributed Denial of Service (DDoS)
"shadow_copy_deletion, backup_deletion",Ransomware
"rapid_auth_requests, failed_ssh_attempts, failed_rdp_attempts, auth_log_flooding",Brute Force Attack
"rogue_dhcp_server, session_hijacking, bgp_hijacking",Man-in-the-Middle (MitM)
"syn_flood, icmp_flood, bandwidth_saturation",Distributed Denial of Service (DDoS)
"unusual_db_query, error_based_response, blind_sqli_timing, tautology_in_query",SQL Injection
"network_mapping, ping_sweep, whois_lookup, tcp_connect_scan",Reconnaissance
"ping_sweep, traceroute_activity",Reconnaissance
"port_scanning, dns_enumeration, whois_lookup",Reconnaissance
"sql_injection_pattern, unusual_db_query, blind_sqli_timing, encoded_sql_payload, boolean_blind_sqli",SQL Injection
"icmp_flood, bandwidth_saturation",Distributed Denial of Service (DDoS)
"domain_spoofing, spear_phishing_indicators, vishing_indicators",Phishing
"unusual_gateway_mac, rogue_dhcp_server",Man-in-the-Middle (MitM)
"xss_payload_detected, dom_manipulation, cookie_theft_attempt, event_handler_injection",Cross-Site Scripting (XSS)
"high_traffic_volume, dns_amplification",Distributed Denial of Service (DDoS)
"certificate_anomaly, dns_spoofing, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"high_login_attempts, credential_stuffing, dictionary_attack",Brute Force Attack
"syn_flood, udp_flood, amplification_traffic, dns_amplification",Distributed Denial of Service (DDoS)
"email_header_anomaly, lookalike_domain, urgency_in_email, malicious_attachment, brand_impersonation",Phishing
"rapid_auth_requests, failed_ssh_attempts, auth_log_flooding",Brute Force Attack
"script_tag_in_input, cookie_theft_attempt",Cross-Site Scripting (XSS)
"domain_spoofing, credential_harvesting, vishing_indicators",Phishing
"traceroute_activity, idle_scan",Reconnaissance
"ransom_note_created, unusual_file_extension, bitcoin_address_in_note",Ransomware
"brute_force_login, high_login_attempts, account_lockout_triggered, failed_ssh_attempts, auth_log_flooding",Brute Force Attack
"port_scanning, banner_grabbing, tcp_connect_scan",Reconnaissance
"multiple_failed_auth, high_login_attempts, password_spraying, dictionary_attack, rapid_auth_requests",Brute Force Attack
"arp_spoofing, dns_spoofing, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"whois_lookup, idle_scan, tcp_connect_scan",Reconnaissance
"cookie_theft_attempt, reflected_payload, javascript_uri_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"port_scanning, banner_grabbing, ping_sweep, whois_lookup, tcp_connect_scan",Reconnaissance
"error_based_response, db_error_in_response, encoded_sql_payload",SQL Injection
"ssl_stripping, dns_spoofing, ip_spoofing",Man-in-the-Middle (MitM)
"certificate_anomaly, ssl_certificate_mismatch, bgp_hijacking",Man-in-the-Middle (MitM)
"suspicious_email_link, fake_login_page, spear_phishing_indicators",Phishing
"out_of_band_sqli, time_delay_response",SQL Injection
"arp_spoofing, certificate_anomaly, ssl_certificate_mismatch, bgp_hijacking, ip_spoofing",Man-in-the-Middle (MitM)
"ransom_note_created, shadow_copy_deletion",Ransomware
"network_mapping, idle_scan",Reconnaissance
"ssl_stripping, dns_spoofing, unusual_gateway_mac, rogue_dhcp_server, evil_twin_ap",Man-in-the-Middle (MitM)
"banner_grabbing, network_mapping, whois_lookup",Reconnaissance
"udp_flood, http_flood, icmp_flood, bandwidth_saturation, ntp_amplification",Distributed Denial of Service (DDoS)
"arp_spoofing, unusual_gateway_mac, rogue_dhcp_server, evil_twin_ap",Man-in-the-Middle (MitM)
"port_scanning, os_fingerprinting, network_mapping",Reconnaissance
"arp_spoofing, certificate_anomaly, unusual_gateway_mac",Man-in-the-Middle (MitM)
"domain_spoofing, malicious_attachment, spear_phishing_indicators",Phishing
"lookalike_domain, brand_impersonation",Phishing
"os_fingerprinting, banner_grabbing, tcp_connect_scan",Reconnaissance
"sql_injection_pattern, blind_sqli_timing, encoded_sql_payload",SQL Injection
"arp_spoofing, certificate_anomaly, session_hijacking, ssl_certificate_mismatch, ip_spoofing",Man-in-the-Middle (MitM)
"unusual_gateway_mac, packet_interception, evil_twin_ap, ip_spoofing",Man-in-the-Middle (MitM)
"out_of_band_sqli, tautology_in_query",SQL Injection
"high_login_attempts, account_lockout_triggered, failed_ssh_attempts",Brute Force Attack
"sql_injection_pattern, blind_sqli_timing, db_error_in_response, boolean_blind_sqli",SQL Injection
"suspicious_email_link, domain_spoofing, credential_harvesting",Phishing
"os_fingerprinting, version_detection, tcp_connect_scan",Reconnaissance
"network_mapping, idle_scan, version_detection",Reconnaissance
"http_flood, icmp_flood, dns_amplification",Distributed Denial of Service (DDoS)
"dns_spoofing, packet_interception, ip_spoofing",Man-in-the-Middle (MitM)
"brute_force_login, multiple_failed_auth, rapid_auth_requests",Brute Force Attack
"icmp_flood, slow_loris_attack, bandwidth_saturation",Distributed Denial of Service (DDoS)
"arp_spoofing, certificate_anomaly, session_hijacking, ssl_certificate_mismatch, bgp_hijacking",Man-in-the-Middle (MitM)
"http_flood, icmp_flood, bandwidth_saturation",Distributed Denial of Service (DDoS)
"c2_communication, file_rename_burst, registry_modification, process_injection",Ransomware
"arp_spoofing, ssl_stripping, certificate_anomaly, dns_spoofing, rogue_dhcp_server",Man-in-the-Middle (MitM)
"account_lockout_triggered, auth_log_flooding",Brute Force Attack
"unusual_gateway_mac, rogue_dhcp_server, session_hijacking, bgp_hijacking",Man-in-the-Middle (MitM)
"password_spraying, account_lockout_triggered, failed_ssh_attempts",Brute Force Attack
"credential_harvesting, fake_login_page, malicious_attachment",Phishing
"ransom_note_created, shadow_copy_deletion, bitcoin_address_in_note",Ransomware
"rogue_dhcp_server, ip_spoofing",Man-in-the-Middle (MitM)
"db_error_in_response, tautology_in_query",SQL Injection
"brute_force_login, credential_stuffing",Brute Force Attack
"network_mapping, ping_sweep, tcp_connect_scan",Reconnaissance
"domain_spoofing, fake_login_page, urgency_in_email, malicious_attachment, vishing_indicators",Phishing
"certificate_anomaly, rogue_dhcp_server, ip_spoofing",Man-in-the-Middle (MitM)
"dns_enumeration, whois_lookup, idle_scan",Reconnaissance
"encoded_sql_payload, boolean_blind_sqli",SQL Injection
"arp_spoofing, packet_interception, ssl_certificate_mismatch, bgp_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"rapid_auth_requests, auth_log_flooding",Brute Force Attack
"high_login_attempts, password_spraying, failed_ssh_attempts, failed_rdp_attempts, auth_log_flooding",Brute Force Attack
"network_mapping, idle_scan, tcp_connect_scan",Reconnaissance
"domain_spoofing, brand_impersonation",Phishing
"xss_payload_detected, javascript_uri_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"ssl_stripping, rogue_dhcp_server, ssl_certificate_mismatch, ip_spoofing",Man-in-the-Middle (MitM)
"ssl_certificate_mismatch, bgp_hijacking, ip_spoofing",Man-in-the-Middle (MitM)
"mass_file_encryption, registry_modification",Ransomware
"suspicious_email_link, domain_spoofing, malicious_attachment, whaling_attempt",Phishing
"ransom_note_created, shadow_copy_deletion, lateral_movement",Ransomware
"brute_force_login, multiple_failed_auth, failed_rdp_attempts",Brute Force Attack
"high_traffic_volume, udp_flood, icmp_flood, bandwidth_saturation, connection_exhaustion",Distributed Denial of Service (DDoS)
"sql_injection_pattern, boolean_blind_sqli",SQL Injection
"credential_harvesting, email_header_anomaly, malicious_attachment",Phishing
"mass_file_encryption, c2_communication",Ransomware
"unusual_gateway_mac, evil_twin_ap, ip_spoofing",Man-in-the-Middle (MitM)
"arp_spoofing, rogue_dhcp_server, bgp_hijacking",Man-in-the-Middle (MitM)
"high_traffic_volume, syn_flood, udp_flood",Distributed Denial of Service (DDoS)
"port_scanning, service_enumeration, idle_scan",Reconnaissance
"ransom_note_created, c2_communication, process_injection",Ransomware
"syn_flood, http_flood, amplification_traffic, icmp_flood, bandwidth_saturation",Distributed Denial of Service (DDoS)
"arp_spoofing, unusual_gateway_mac, session_hijacking",Man-in-the-Middle (MitM)
"reflected_payload, event_handler_injection, javascript_uri_injection",Cross-Site Scripting (XSS)
"dns_spoofing, unusual_gateway_mac, rogue_dhcp_server",Man-in-the-Middle (MitM)
"brute_force_login, dictionary_attack, auth_log_flooding",Brute Force Attack
"multiple_failed_auth, rapid_auth_requests, failed_rdp_attempts",Brute Force Attack
"multiple_failed_auth, auth_log_flooding",Brute Force Attack
"port_scanning, banner_grabbing, whois_lookup, traceroute_activity, idle_scan",Reconnaissance
"fake_login_page, lookalike_domain, malicious_attachment",Phishing
"certificate_anomaly, dns_spoofing, unusual_gateway_mac, session_hijacking, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"dom_manipulation, event_handler_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"c2_communication, process_injection, data_exfiltration_before_encryption",Ransomware
"high_login_attempts, dictionary_attack, rapid_auth_requests, failed_ssh_attempts, auth_log_flooding",Brute Force Attack
"service_degradation, amplification_traffic, connection_exhaustion",Distributed Denial of Service (DDoS)
"traceroute_activity, tcp_connect_scan",Reconnaissance
"unusual_db_query, stacked_queries, db_error_in_response",SQL Injection
"ransom_note_created, c2_communication, backup_deletion",Ransomware
"lookalike_domain, urgency_in_email, brand_impersonation",Phishing
"syn_flood, udp_flood, bandwidth_saturation",Distributed Denial of Service (DDoS)
"banner_grabbing, whois_lookup, tcp_connect_scan",Reconnaissance
"suspicious_email_link, whaling_attempt",Phishing
"port_scanning, banner_grabbing, network_mapping, dns_enumeration, tcp_connect_scan",Reconnaissance
"certificate_anomaly, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"lookalike_domain, urgency_in_email, malicious_attachment, spear_phishing_indicators",Phishing
"file_rename_burst, backup_deletion, bitcoin_address_in_note",Ransomware
"ransom_note_created, unusual_file_extension, file_rename_burst, data_exfiltration_before_encryption",Ransomware
"mass_file_encryption, ransom_note_created, process_injection",Ransomware
"port_scanning, version_detection",Reconnaissance
"ssl_stripping, rogue_dhcp_server, session_hijacking",Man-in-the-Middle (MitM)
"unusual_gateway_mac, session_hijacking",Man-in-the-Middle (MitM)
"sql_injection_pattern, blind_sqli_timing",SQL Injection
"ping_sweep, dns_enumeration, tcp_connect_scan",Reconnaissance
"dom_manipulation, cookie_theft_attempt, javascript_uri_injection",Cross-Site Scripting (XSS)
"brute_force_login, password_spraying",Brute Force Attack
"script_tag_in_input, dom_manipulation, event_handler_injection",Cross-Site Scripting (XSS)
"blind_sqli_timing, out_of_band_sqli, time_delay_response",SQL Injection
"unusual_gateway_mac, packet_interception, bgp_hijacking",Man-in-the-Middle (MitM)
"credential_harvesting, lookalike_domain, urgency_in_email",Phishing
"service_degradation, udp_flood, icmp_flood",Distributed Denial of Service (DDoS)
"ssl_stripping, rogue_dhcp_server, bgp_hijacking",Man-in-the-Middle (MitM)
"blind_sqli_timing, db_error_in_response",SQL Injection
"network_mapping, whois_lookup",Reconnaissance
"unusual_db_query, tautology_in_query, boolean_blind_sqli",SQL Injection
"high_login_attempts, dictionary_attack, auth_log_flooding",Brute Force Attack
"fake_login_page, email_header_anomaly, malicious_attachment, vishing_indicators",Phishing
"slow_loris_attack, connection_exhaustion, dns_amplification",Distributed Denial of Service (DDoS)
"icmp_flood, connection_exhaustion",Distributed Denial of Service (DDoS)
"sql_injection_pattern, union_based_payload, tautology_in_query, boolean_blind_sqli",SQL Injection
"os_fingerprinting, service_enumeration, network_mapping, ping_sweep, tcp_connect_scan",Reconnaissance
"brute_force_login, multiple_failed_auth, high_login_attempts, credential_stuffing, dictionary_attack",Brute Force Attack
"port_scanning, os_fingerprinting, banner_grabbing, ping_sweep, idle_scan",Reconnaissance
"stacked_queries, tautology_in_query, time_delay_response",SQL Injection
"amplification_traffic, bandwidth_saturation, dns_amplification",Distributed Denial of Service (DDoS)
"sql_injection_pattern, unusual_db_query, blind_sqli_timing, stacked_queries",SQL Injection
"brute_force_login, password_spraying, auth_log_flooding",Brute Force Attack
"http_flood, amplification_traffic, bandwidth_saturation, connection_exhaustion",Distributed Denial of Service (DDoS)
"mass_file_encryption, data_exfiltration_before_encryption",Ransomware
"xss_payload_detected, dom_manipulation, csp_bypass_attempt",Cross-Site Scripting (XSS)
"service_degradation, connection_exhaustion, ntp_amplification",Distributed Denial of Service (DDoS)
"arp_spoofing, certificate_anomaly, unusual_gateway_mac, session_hijacking",Man-in-the-Middle (MitM)
"xss_payload_detected, cookie_theft_attempt, html_entity_bypass",Cross-Site Scripting (XSS)
"suspicious_email_link, credential_harvesting, lookalike_domain, brand_impersonation, vishing_indicators",Phishing
"service_degradation, slow_loris_attack, dns_amplification",Distributed Denial of Service (DDoS)
"xss_payload_detected, script_tag_in_input, dom_manipulation, javascript_uri_injection",Cross-Site Scripting (XSS)
"service_degradation, bandwidth_saturation, connection_exhaustion",Distributed Denial of Service (DDoS)
"shadow_copy_deletion, unusual_file_extension, backup_deletion",Ransomware
"port_scanning, service_enumeration, dns_enumeration",Reconnaissance
"high_traffic_volume, syn_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"sql_injection_pattern, out_of_band_sqli, encoded_sql_payload",SQL Injection
"packet_interception, evil_twin_ap",Man-in-the-Middle (MitM)
"fake_login_page, whaling_attempt",Phishing
"ransom_note_created, process_injection",Ransomware
"ssl_stripping, certificate_anomaly, unusual_gateway_mac, ip_spoofing",Man-in-the-Middle (MitM)
"os_fingerprinting, banner_grabbing, whois_lookup",Reconnaissance
"amplification_traffic, connection_exhaustion",Distributed Denial of Service (DDoS)
"blind_sqli_timing, encoded_sql_payload, time_delay_response",SQL Injection
"blind_sqli_timing, db_error_in_response, time_delay_response",SQL Injection
"sql_injection_pattern, tautology_in_query, boolean_blind_sqli",SQL Injection
"malicious_iframe_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"service_degradation, syn_flood, http_flood",Distributed Denial of Service (DDoS)
"multiple_failed_auth, password_spraying, failed_ssh_attempts",Brute Force Attack
"mass_file_encryption, file_rename_burst, registry_modification, process_injection, lateral_movement",Ransomware
"certificate_anomaly, ssl_certificate_mismatch, ip_spoofing",Man-in-the-Middle (MitM)
"ssl_stripping, ssl_certificate_mismatch, bgp_hijacking",Man-in-the-Middle (MitM)
"http_flood, icmp_flood, slow_loris_attack, connection_exhaustion",Distributed Denial of Service (DDoS)
"error_based_response, out_of_band_sqli, tautology_in_query",SQL Injection
"unusual_db_query, error_based_response, union_based_payload",SQL Injection
"ransom_note_created, unusual_file_extension, process_injection, bitcoin_address_in_note",Ransomware
"stored_xss_payload, javascript_uri_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"fake_login_page, brand_impersonation, spear_phishing_indicators, whaling_attempt, vishing_indicators",Phishing
"fake_login_page, urgency_in_email, spear_phishing_indicators, whaling_attempt",Phishing
"suspicious_email_link, fake_login_page, lookalike_domain, malicious_attachment",Phishing
"high_login_attempts, password_spraying, failed_rdp_attempts, auth_log_flooding",Brute Force Attack
"service_enumeration, banner_grabbing, version_detection",Reconnaissance
"network_mapping, ping_sweep",Reconnaissance
"c2_communication, process_injection, bitcoin_address_in_note",Ransomware
"sql_injection_pattern, tautology_in_query",SQL Injection
"port_scanning, banner_grabbing, idle_scan",Reconnaissance
"shadow_copy_deletion, backup_deletion, lateral_movement, data_exfiltration_before_encryption",Ransomware
"high_traffic_volume, slow_loris_attack, dns_amplification",Distributed Denial of Service (DDoS)
"backup_deletion, lateral_movement",Ransomware
"certificate_anomaly, ip_spoofing",Man-in-the-Middle (MitM)
"connection_exhaustion, dns_amplification",Distributed Denial of Service (DDoS)
"http_flood, amplification_traffic, bandwidth_saturation",Distributed Denial of Service (DDoS)
"banner_grabbing, dns_enumeration, traceroute_activity",Reconnaissance
"multiple_failed_auth, dictionary_attack, failed_rdp_attempts",Brute Force Attack
"stored_xss_payload, event_handler_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"multiple_failed_auth, credential_stuffing, failed_rdp_attempts",Brute Force Attack
"lookalike_domain, urgency_in_email, vishing_indicators",Phishing
"session_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"high_traffic_volume, service_degradation, amplification_traffic, slow_loris_attack",Distributed Denial of Service (DDoS)
"stored_xss_payload, javascript_uri_injection",Cross-Site Scripting (XSS)
"fake_login_page, email_header_anomaly, lookalike_domain",Phishing
"mass_file_encryption, backup_deletion, data_exfiltration_before_encryption",Ransomware
"session_hijacking, ssl_certificate_mismatch, ip_spoofing",Man-in-the-Middle (MitM)
"xss_payload_detected, script_tag_in_input, html_entity_bypass",Cross-Site Scripting (XSS)
"service_degradation, syn_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"syn_flood, icmp_flood, connection_exhaustion, dns_amplification",Distributed Denial of Service (DDoS)
"fake_login_page, malicious_attachment",Phishing
"email_header_anomaly, lookalike_domain, urgency_in_email, brand_impersonation",Phishing
"reflected_payload, malicious_iframe_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"high_traffic_volume, amplification_traffic, ntp_amplification",Distributed Denial of Service (DDoS)
"xss_payload_detected, dom_manipulation, cookie_theft_attempt",Cross-Site Scripting (XSS)
"union_based_payload, tautology_in_query, boolean_blind_sqli",SQL Injection
"union_based_payload, boolean_blind_sqli",SQL Injection
"network_mapping, ping_sweep, version_detection",Reconnaissance
"error_based_response, tautology_in_query",SQL Injection
"ransom_note_created, shadow_copy_deletion, backup_deletion, data_exfiltration_before_encryption, bitcoin_address_in_note",Ransomware
"connection_exhaustion, ntp_amplification",Distributed Denial of Service (DDoS)
"c2_communication, backup_deletion, lateral_movement",Ransomware
"high_traffic_volume, bandwidth_saturation, ntp_amplification",Distributed Denial of Service (DDoS)
"sql_injection_pattern, unusual_db_query, stacked_queries, tautology_in_query, boolean_blind_sqli",SQL Injection
"unusual_gateway_mac, rogue_dhcp_server, ssl_certificate_mismatch, evil_twin_ap, ip_spoofing",Man-in-the-Middle (MitM)
"sql_injection_pattern, blind_sqli_timing, out_of_band_sqli, encoded_sql_payload, boolean_blind_sqli",SQL Injection
"high_traffic_volume, service_degradation, ntp_amplification",Distributed Denial of Service (DDoS)
"script_tag_in_input, event_handler_injection",Cross-Site Scripting (XSS)
"email_header_anomaly, whaling_attempt, vishing_indicators",Phishing
"error_based_response, union_based_payload, encoded_sql_payload",SQL Injection
"os_fingerprinting, network_mapping, version_detection",Reconnaissance
"ransom_note_created, shadow_copy_deletion, unusual_file_extension, process_injection",Ransomware
"unusual_db_query, union_based_payload, boolean_blind_sqli",SQL Injection
"unusual_db_query, error_based_response",SQL Injection
"unusual_file_extension, data_exfiltration_before_encryption, bitcoin_address_in_note",Ransomware
"ping_sweep, idle_scan, tcp_connect_scan",Reconnaissance
"port_scanning, os_fingerprinting, tcp_connect_scan",Reconnaissance
"brute_force_login, auth_log_flooding",Brute Force Attack
"credential_harvesting, lookalike_domain, malicious_attachment, brand_impersonation",Phishing
"email_header_anomaly, malicious_attachment",Phishing
"shadow_copy_deletion, file_rename_burst, bitcoin_address_in_note",Ransomware
"multiple_failed_auth, high_login_attempts",Brute Force Attack
"icmp_flood, connection_exhaustion, dns_amplification",Distributed Denial of Service (DDoS)
"malicious_attachment, brand_impersonation, spear_phishing_indicators",Phishing
"arp_spoofing, rogue_dhcp_server, ip_spoofing",Man-in-the-Middle (MitM)
"dictionary_attack, failed_rdp_attempts, auth_log_flooding",Brute Force Attack
"arp_spoofing, unusual_gateway_mac, packet_interception, ssl_certificate_mismatch",Man-in-the-Middle (MitM)
"udp_flood, http_flood, slow_loris_attack",Distributed Denial of Service (DDoS)
"certificate_anomaly, rogue_dhcp_server",Man-in-the-Middle (MitM)
"error_based_response, blind_sqli_timing, union_based_payload",SQL Injection
"shadow_copy_deletion, c2_communication, registry_modification, data_exfiltration_before_encryption",Ransomware
"domain_spoofing, email_header_anomaly, spear_phishing_indicators",Phishing
"xss_payload_detected, dom_manipulation, html_entity_bypass",Cross-Site Scripting (XSS)
"banner_grabbing, version_detection",Reconnaissance
"credential_harvesting, fake_login_page, spear_phishing_indicators, whaling_attempt",Phishing
"ssl_stripping, certificate_anomaly, ssl_certificate_mismatch, ip_spoofing",Man-in-the-Middle (MitM)
"suspicious_email_link, malicious_attachment, spear_phishing_indicators, whaling_attempt",Phishing
"out_of_band_sqli, tautology_in_query, time_delay_response",SQL Injection
"xss_payload_detected, event_handler_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"udp_flood, http_flood",Distributed Denial of Service (DDoS)
"urgency_in_email, vishing_indicators",Phishing
"arp_spoofing, unusual_gateway_mac, packet_interception",Man-in-the-Middle (MitM)
"multiple_failed_auth, high_login_attempts, account_lockout_triggered, failed_ssh_attempts, failed_rdp_attempts",Brute Force Attack
"error_based_response, union_based_payload",SQL Injection
"high_login_attempts, auth_log_flooding",Brute Force Attack
"reflected_payload, html_entity_bypass",Cross-Site Scripting (XSS)
"cookie_theft_attempt, stored_xss_payload, javascript_uri_injection",Cross-Site Scripting (XSS)
"sql_injection_pattern, encoded_sql_payload, boolean_blind_sqli",SQL Injection
"multiple_failed_auth, credential_stuffing, account_lockout_triggered, failed_rdp_attempts",Brute Force Attack
"port_scanning, whois_lookup, tcp_connect_scan",Reconnaissance
"credential_stuffing, failed_ssh_attempts",Brute Force Attack
"dom_manipulation, reflected_payload, html_entity_bypass",Cross-Site Scripting (XSS)
"mass_file_encryption, ransom_note_created, backup_deletion, lateral_movement",Ransomware
"port_scanning, banner_grabbing, traceroute_activity",Reconnaissance
"ssl_certificate_mismatch, evil_twin_ap, ip_spoofing",Man-in-the-Middle (MitM)
"stacked_queries, tautology_in_query",SQL Injection
"dom_manipulation, stored_xss_payload, html_entity_bypass",Cross-Site Scripting (XSS)
"os_fingerprinting, service_enumeration",Reconnaissance
"lookalike_domain, brand_impersonation, spear_phishing_indicators",Phishing
"traceroute_activity, version_detection, tcp_connect_scan",Reconnaissance
"sql_injection_pattern, unusual_db_query, stacked_queries, time_delay_response, boolean_blind_sqli",SQL Injection
"high_traffic_volume, http_flood, ntp_amplification",Distributed Denial of Service (DDoS)
"high_traffic_volume, service_degradation, udp_flood, bandwidth_saturation, connection_exhaustion",Distributed Denial of Service (DDoS)
"shadow_copy_deletion, backup_deletion, process_injection",Ransomware
"shadow_copy_deletion, backup_deletion, registry_modification",Ransomware
"mass_file_encryption, c2_communication, data_exfiltration_before_encryption",Ransomware
"xss_payload_detected, event_handler_injection, javascript_uri_injection",Cross-Site Scripting (XSS)
"email_header_anomaly, malicious_attachment, whaling_attempt",Phishing
"domain_spoofing, lookalike_domain, urgency_in_email, malicious_attachment, spear_phishing_indicators",Phishing
"stored_xss_payload, html_entity_bypass, csp_bypass_attempt",Cross-Site Scripting (XSS)
"unusual_db_query, stacked_queries, out_of_band_sqli",SQL Injection
"credential_harvesting, lookalike_domain",Phishing
"error_based_response, out_of_band_sqli, encoded_sql_payload",SQL Injection
"multiple_failed_auth, credential_stuffing, account_lockout_triggered",Brute Force Attack
"domain_spoofing, credential_harvesting, fake_login_page",Phishing
"dom_manipulation, reflected_payload, event_handler_injection, javascript_uri_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"os_fingerprinting, service_enumeration, ping_sweep, idle_scan",Reconnaissance
"multiple_failed_auth, account_lockout_triggered, auth_log_flooding",Brute Force Attack
"amplification_traffic, slow_loris_attack, bandwidth_saturation",Distributed Denial of Service (DDoS)
"unusual_db_query, db_error_in_response, tautology_in_query, time_delay_response",SQL Injection
"shadow_copy_deletion, registry_modification, bitcoin_address_in_note",Ransomware
"shadow_copy_deletion, backup_deletion, data_exfiltration_before_encryption",Ransomware
"script_tag_in_input, reflected_payload, javascript_uri_injection, malicious_iframe_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"reflected_payload, stored_xss_payload, event_handler_injection, javascript_uri_injection, html_entity_bypass",Cross-Site Scripting (XSS)
"packet_interception, ssl_certificate_mismatch, ip_spoofing",Man-in-the-Middle (MitM)
"port_scanning, os_fingerprinting, network_mapping, dns_enumeration, traceroute_activity",Reconnaissance
"c2_communication, backup_deletion, data_exfiltration_before_encryption",Ransomware
"udp_flood, slow_loris_attack, bandwidth_saturation",Distributed Denial of Service (DDoS)
"dom_manipulation, event_handler_injection, csp_bypass_attempt",Cross-Site Scripting (XSS)
"credential_stuffing, password_spraying, dictionary_attack",Brute Force Attack
"fake_login_page, email_header_anomaly, malicious_attachment",Phishing
"suspicious_email_link, domain_spoofing, credential_harvesting, fake_login_page",Phishing
"suspicious_email_link, credential_harvesting, brand_impersonation",Phishing
"service_degradation, udp_flood, connection_exhaustion",Distributed Denial of Service (DDoS)
"mass_file_encryption, ransom_note_created, c2_communication",Ransomware
"stacked_queries, out_of_band_sqli, db_error_in_response",SQL Injection
"dom_manipulation, cookie_theft_attempt, reflected_payload, event_handler_injection, javascript_uri_injection",Cross-Site Scripting (XSS)
"certificate_anomaly, dns_spoofing, bgp_hijacking, evil_twin_ap",Man-in-the-Middle (MitM)
"unusual_db_query, out_of_band_sqli, tautology_in_query, time_delay_response",SQL Injection
"high_traffic_volume, service_degradation",Distributed Denial of Service (DDoS)
"process_injection, bitcoin_address_in_note",Ransomware
"sql_injection_pattern, unusual_db_query, db_error_in_response, tautology_in_query",SQL Injection
"stored_xss_payload, event_handler_injection, malicious_iframe_injection",Cross-Site Scripting (XSS)
"os_fingerprinting, dns_enumeration, idle_scan",Reconnaissance
"shadow_copy_deletion, unusual_file_extension, process_injection",Ransomware
"password_spraying, rapid_auth_requests, failed_ssh_attempts",Brute Force Attack
"high_traffic_volume, http_flood, amplification_traffic, bandwidth_saturation, ntp_amplification",Distributed Denial of Service (DDoS)
"brute_force_login, high_login_attempts, dictionary_attack, account_lockout_triggered, auth_log_flooding",Brute Force Attack
"high_traffic_volume, dns_amplification, ntp_amplification",Distributed Denial of Service (DDoS)
